Período (mes año),agricultura y ganaderia,agricultura y ganaderia,"Silvicultura, extracción de madera","Silvicultura, extracción de madera",Pesca y actividades relacionadas con la pesca,Pesca y actividades relacionadas con la pesca,Extracción de petróleo crudo y gas natural,Extracción de petróleo crudo y gas natural,Extracción de minerales metalíferos,Extracción de minerales metalíferos,Explotación de otras minas y canteras,Explotación de otras minas y canteras,Alimentos,Alimentos,Tabaco,Tabaco,Productos textiles,Productos textiles,Confecciones,Confecciones,Cuero,Cuero,Madera,Madera,Papel,Papel,Edición,Edición,Productos de petróleo,Productos de petróleo,Productos químicos,Productos químicos,Productos de caucho y plástico,Productos de caucho y plástico,Otros minerales no metálicos,Otros minerales no metálicos,Metales comunes,Metales comunes,Otros productos de metal,Otros productos de metal,Maquinaria y equipo,Maquinaria y equipo,Maquinaria de oficina,Maquinaria de oficina,Aparatos eléctricos,Aparatos eléctricos,Radio y televisión,Radio y televisión,Instrumentos médicos,Instrumentos médicos,Automotores,Automotores,Otros equipo de transporte,Otros equipo de transporte,Muebles,Muebles,Reciclamiento de desperdicios y desechos,Reciclamiento de desperdicios y desechos,"Electricidad, gas y agua","Electricidad, gas y agua","Captación, depuración y distribución de agua","Captación, depuración y distribución de agua",Construcción,Construcción,"Vta. y reparación de vehículos, vta. por menor de combustible","Vta. y reparación de vehículos, vta. por menor de combustible",Comercio al por mayor,Comercio al por mayor,Comercio al por menor,Comercio al por menor,Servicios de hotelería y restaurantes,Servicios de hotelería y restaurantes,Transporte ferroviario y automotor y por tuberías,Transporte ferroviario y automotor y por tuberías,Transporte marítimo y fluvial,Transporte marítimo y fluvial,Transporte aéreo de cargas y de pasajeros,Transporte aéreo de cargas y de pasajeros,"Manipulación de carga, almacenamiento y depósito","Manipulación de carga, almacenamiento y depósito",Correos y telecomunicaciones,Correos y telecomunicaciones,Intermediación financiera y otros servicios financieros,Intermediación financiera y otros servicios financieros,Seguros y AFJP,Seguros y AFJP,Servicios auxiliares a la actividad financiera,Servicios auxiliares a la actividad financiera,Servicios inmobiliarios,Servicios inmobiliarios,Alquiler de equipo de transporte y de maquinaria,Alquiler de equipo de transporte y de maquinaria,Actividades de informática,Actividades de informática,Investigación y desarrollo,Investigación y desarrollo,"Servicios jurídicos, contables y otros servicios a empresas","Servicios jurídicos, contables y otros servicios a empresas",Agencias de empleo temporario,Agencias de empleo temporario,Enseñanza,Enseñanza,Servicios sociales y de salud,Servicios sociales y de salud,Eliminación de desperdicios,Eliminación de desperdicios,Servicios de organizaciones empresariales,Servicios de organizaciones empresariales,"Cinematografía, radio y televisión","Cinematografía, radio y televisión",Servicios n.c.p.,Servicios n.c.p.,sin definir,sin definir
,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones
ene-96,380.2,399.8,426.2,335.1,677.5,1313.3,2062.5,2386.7,1071.7,1357.3,854.7,913.8,627.2,974.9,1378.7,1750.3,533.4,751.7,468.7,687.6,578.7,766.4,552.6,496.6,819.1,1140.2,1079.1,1445.4,2086.5,2928.6,1377.8,2028.7,697,925.8,940,1028.6,1133,1281.1,677.2,734.8,843.4,951.4,786.9,1033.5,855.9,1115,1198.9,1823.6,870.6,1111.2,1145.4,1420.8,666.8,751.2,584.8,600.7,746.6,1001.3,1523.4,2101,1128.2,1303.8,698.8,586.9,667.9,760.9,735.9,904.7,542.4,626,503.5,551.5,752.4,966.4,1155.2,1439.3,1232.7,2063.6,746.5,913.3,1313.1,1609.7,1423.9,2042.3,1223.4,1799,921.3,1475.9,569.3,747.7,739.5,1001.7,1497.9,2915.3,1071.4,1304,573,705.1,590.2,597,511.7,599.1,673.7,976.8,307.9,707,793.7,1043.9,726.8,958.8,519.4,570.9,615.4,636.2
feb-96,406.8,398.1,416,338.7,614.5,1364.4,1919.6,2314.8,1413.3,1500.3,841.3,899.1,602.5,893,1427,1838.4,508.4,708.3,434,657.8,543.1,719.6,537.6,468,788.6,1053.4,989.6,1273,1926.2,2747.9,1184.5,1700.2,640,865.5,909.4,975.7,1032.6,1203.7,621.6,684.6,755,837.5,779.4,1059.9,719.9,982.5,1222.1,1676,780.3,894.7,1026.3,1198.6,780.9,899.5,561.8,569.9,842.3,865.6,1369.8,1812.2,1093.8,1235.2,681.3,567.1,654.4,738.4,719.8,875.7,526.4,596.6,480.4,534.3,735.5,925.1,1137.2,1492.1,1171.2,2008.4,737,879.1,1283.2,1574,1465.8,2061.1,1135.8,1625.2,856.9,1419.9,557.2,721.6,690.5,939.4,1206.1,1977.3,1039.8,1288.4,558.8,677.4,553.6,569.9,508.8,597.5,651.6,928,297.5,663.9,757.3,983.6,686.5,886.8,504.1,556.8,599.3,628.9
mar-96,399.7,393.3,416.5,324.2,773.1,1395.1,1879.3,2284.9,1324.6,1319.5,888.1,920.2,610.3,913,1099.1,1548.1,485.6,699,429.1,644.9,541.5,703.2,524.1,477.8,764,1048.6,958.3,1253.8,1901.4,2608.3,1129.8,1731.2,619,856.7,863.3,946.6,1031,1188.3,601.8,642.8,741.8,818.4,762.3,983.5,691.5,909.3,1002.8,1549.4,756.4,909.1,965.7,1245,750.4,839.7,526.2,533.2,761.8,941.8,1421.7,2065.5,1067.4,1207.1,671.3,572.3,609.9,701.1,699.9,833,511.4,589.1,457.4,518.5,712.5,895.7,1125.7,1357.6,1161.9,1935.1,717,847.7,1569.6,1857.7,1372.2,2010,1084.1,1597,858.8,1350.2,544.5,707.4,634,932.4,1193.2,2249.4,1033,1295.5,543.6,673.2,548.7,576.1,498.5,582.8,634.3,906.7,291.5,650.5,751.4,979.6,669.4,878.3,499.4,542.6,594.7,642.4
abr-96,375.9,394.6,396.7,334.1,677.2,1269.2,1928.7,2300,1121.7,1201.2,856.2,917.6,604.4,906.9,984.5,1501.6,501.8,710.1,441.4,657,559.4,716.7,529.9,470.5,804.3,1094.2,979.9,1284.5,1906.9,2626.2,1155.7,1739.1,633.2,868.1,901.9,952.7,1016,1142.8,638.6,665.9,752.2,833.2,767.4,982.1,696.3,923.4,1110.9,1542.2,789.9,943.8,998.7,1268,750.8,844,541.1,547.3,742,906.2,1302.4,1689.7,1105.7,1285.9,676,570,613.6,702.9,701.1,829.6,520,594.1,456.8,519.4,704.9,897.9,1120.7,1564.5,1173.1,1961.9,717.8,859.6,1266.2,1520.6,1342.9,1909.4,1032.9,1556.1,846,1344.1,543.6,697.8,662.5,895.2,1176.9,1906.8,1031.1,1292.5,542.5,664.1,538.5,574.1,498.2,592.5,632.5,905.7,294.6,661.4,734.6,971.9,663.2,878.8,493.4,534.2,567.7,611.9
may-96,395.6,389.8,411.2,339,750.7,1386.9,2090.3,2419.2,1302.8,1554.4,869,928.6,623.5,905.5,946.7,1519.7,518.1,726.5,456.8,671.4,570.7,740.4,524.2,482.6,792.9,1073.6,991.6,1292.5,1874.5,2557.1,1130.7,1702.9,644.5,885.5,895,974.6,1035,1158.1,652.2,690.6,768.9,864.6,747.7,975,716.1,940.4,1030.9,1485.2,814.1,1015.5,996.7,1337.5,723.9,877.3,553.7,577,742.9,924.5,1317.8,1666.4,1079.7,1218.9,683.8,591.7,614.1,707.9,704.4,829.2,513.5,585.2,468.9,528.6,714,903.5,1135.7,1475.1,1210.9,1992.8,718.7,845.8,1244.1,1501.5,1350.4,1910.6,1060.6,1570.5,839,1336.5,547.4,704.3,646.7,880.4,1210.8,1929.3,1054,1314.1,545.1,674.7,565.8,585.3,498.7,590.4,635.8,908.4,295.1,691.5,735.9,967.1,675.5,878.3,491.7,542.3,626.4,643.2
jun-96,554,550.2,549.5,451.1,1003.4,1448.1,2892.6,3395.6,1605.8,1726.7,1320.5,1336,902.2,1333.5,1419.1,2351.6,722.8,1051.7,625.2,973.1,795.1,1051.5,738.8,667.5,1157.9,1630.6,1508.9,2039.5,2927.9,4098.1,1741.4,2598,899.9,1271.3,1311.9,1401.2,1533.9,1788.2,914.2,964,1098.5,1226.3,1118.3,1462.2,1018.9,1348.2,1582.8,2414.7,1167,1397.2,1466.4,1937.7,1049.4,1159.8,761.9,798.1,1111.8,1349.7,1852.6,2377.1,1651.3,1866.7,986.2,793.5,892,1033.6,1038.3,1238.6,760.2,871.4,662.4,759.8,1033.4,1308,1649.8,1995,1842.6,3124.2,1051.2,1210.1,1906.6,2326,2022.8,2915.1,1567.3,2273,1187.4,1995.6,811.8,1055.9,922.6,1279,1757.6,2900.1,1533.2,1895.8,783.7,949.5,769.5,770.1,692.6,818.5,941.4,1352.7,409.6,943,1102.5,1479.5,982.9,1289.9,704.9,768.7,855.5,840.9
jul-96,410.1,391.9,392.8,327.7,743.9,1224.2,1917.6,2268.5,1310.2,1384.1,897.8,925.7,633.9,906.1,1093.5,1822.8,518.8,725.2,451.4,671.5,553.1,714.3,518.5,470,794.5,1068,1011.1,1304.4,2153.7,2976.6,1166.2,1746.7,655.8,897.5,921.9,996,1039.9,1163.9,673.5,679.2,791.5,856.4,773.6,999.8,742.8,939,1047.4,1605.4,801.7,946.8,1014.2,1336.1,790,882.4,547,566.4,769.5,900.9,1277.9,1661.9,1109.8,1241.6,681.2,563.6,609.6,695.1,706.9,842,517.8,589.9,457.6,524,706.5,876.7,1123.4,1475.4,1255.1,2022,712.7,838,1253.2,1518.1,1326.5,1892.2,1094.8,1614.5,871.3,1409.1,553.4,699.4,680.9,901.3,1211.8,1930.5,1036.5,1248.4,546,657.2,557.5,581.7,501.2,594.9,647.8,928.9,299.4,669.9,734.5,955.6,660.1,862.6,490.9,536.8,575,600.1
ago-96,410.6,391,394.2,324.7,700.8,1256.6,1904.4,2210.2,1375.5,1259.2,933.2,925.5,652.7,914.5,1163.9,1839.7,503.7,713.3,441.8,655.2,536.7,700.8,527.3,473.4,815.6,1072.7,998.7,1306.3,1912.5,2555.2,1223.3,1759.8,649.8,892.3,894.7,949,1072,1197.1,671.4,662.1,773.3,835.3,779.8,1016.8,708.5,901.7,1114.5,1663.1,770.4,892.8,1032,1304.6,790.9,861.8,549.5,561.9,794.2,933.6,1278.1,1659.6,1183.1,1273.7,688.1,560.9,614.7,691.5,712.2,848,514.7,592.4,470.1,532.6,716.3,858.9,1159.1,1441.6,1275.1,2076.3,725.8,839,1379.1,1638.1,1398.3,1979.4,1115.2,1631.6,845.1,1388.8,541.8,698.9,673.8,897.5,1232.8,1977.5,1030,1291.6,554.2,663.3,557.7,568,505,593.5,643.2,919.3,306.1,666.1,735.6,959.4,661.8,856,497.5,536.7,610.4,611.4
sep-96,410,387.6,396.1,320.3,697.6,1354.5,1945.7,2288.2,1525.7,1583.8,955,913.9,629,893.3,1191.6,1938.1,491.7,696.7,435.3,652.9,525.6,674.8,532.1,456.6,801.9,1071.9,995.7,1280.6,1922,2572.4,1171.5,1742,632.7,862.1,884.8,929,1083.2,1221.6,671.1,648.8,776.1,830.7,780.5,998.5,699.5,890.3,1065.3,1661.7,826.3,940.3,1014.9,1272.2,775.3,815.6,543.7,537.1,751,908.9,1341.3,1765.8,1104.4,1226.5,679.5,530,604.4,679.5,715.6,852,522.7,599.2,457,517.2,705.4,830.3,1208.5,1538.9,1237.4,2067.6,735.5,837.5,1654.7,1934.9,1475.8,2098,1105,1633.9,861.3,1428.7,543.3,686.9,664.6,888.8,1243.8,1977.5,1056.8,1273.4,552.2,658.2,555.2,564.1,501.9,595.8,651.7,931.1,318.4,656.2,746.3,964.3,663.8,862.8,493.7,524.7,590.2,598.3
